City,Latitude,Longitude,Date,Year,Month,Month_Name,Climate_Type,Elevation_m,Rainfall_mm,Temperature_C,Humidity_pct,SPI_1M,SPI_3M,SPI_6M,SPI_12M,SPI_1M_Class,SPI_3M_Class,SPI_6M_Class,SPI_12M_Class,Year_Month,Drought_Intensity,Wetness_Intensity,Date_String
Berlin,52.52,13.405,2016-08-01,2016,8,August,Oceanic,34,99.34,10.2,47,0.35074395390851987,0.36875036534840944,-0.058043883728602495,0.3958954961521816,Near Normal,Near Normal,Near Normal,Near Normal,2016-08,0.0,0.35074395390851987,2016-08-01
Berlin,52.52,13.405,2016-09-01,2016,9,September,Oceanic,34,56.85,27.1,52,-0.25374121986170245,-0.7543952187043556,-0.47228171688904924,0.5966256587747841,Near Normal,Slightly Dry,Near Normal,Slightly Wet,2016-09,0.25374121986170245,0.0,2016-09-01
Berlin,52.52,13.405,2016-10-01,2016,10,October,Oceanic,34,26.77,10.7,83,-0.9254753268501399,-1.1318943419219585,-1.1255219913137378,0.06842719178273639,Slightly Dry,Moderately Dry,Moderately Dry,Near Normal,2016-10,0.9254753268501399,0.0,2016-10-01
Berlin,52.52,13.405,2016-11-01,2016,11,November,Oceanic,34,125.91,25.0,59,0.6428910144749531,-0.766716583055477,-0.31396423088479314,0.44478489194080356,Slightly Wet,Slightly Dry,Near Normal,Near Normal,2016-11,0.0,0.6428910144749531,2016-11-01
Berlin,52.52,13.405,2016-12-01,2016,12,December,Oceanic,34,10.87,0.0,87,-1.5768707823655035,-1.422579818624463,-1.5627898758208083,-0.20588129157356014,Severely Dry,Moderately Dry,Severely Dry,Near Normal,2016-12,1.5768707823655035,0.0,2016-12-01
Berlin,52.52,13.405,2017-01-01,2017,1,January,Oceanic,34,149.73,25.9,97,0.8721932824768445,0.1388415840583947,-0.7061676445959347,-0.281973908676411,Slightly Wet,Near Normal,Slightly Dry,Near Normal,2017-01,0.0,0.8721932824768445,2017-01-01
Berlin,52.52,13.405,2017-02-01,2017,2,February,Oceanic,34,63.52,4.5,96,-0.14188206707003423,-0.5795631391383481,-1.012309403238733,-0.8010266770528846,Near Normal,Slightly Dry,Moderately Dry,Slightly Dry,2017-02,0.14188206707003423,0.0,2017-02-01
Berlin,52.52,13.405,2017-03-01,2017,3,March,Oceanic,34,0.03,22.1,47,-3.7190164854556804,-0.7177850672724773,-1.5355433836676433,-1.434390506862743,Extremely Dry,Slightly Dry,Severely Dry,Moderately Dry,2017-03,3.7190164854556804,0.0,2017-03-01
Berlin,52.52,13.405,2017-04-01,2017,4,April,Oceanic,34,102.23,17.6,36,0.3848528723531263,-1.3880014991999614,-0.85094024598361,-1.4451493924760657,Near Normal,Moderately Dry,Slightly Dry,Moderately Dry,2017-04,0.0,0.3848528723531263,2017-04-01
Berlin,52.52,13.405,2017-05-01,2017,5,May,Oceanic,34,9.37,32.2,69,-1.6722218503036388,-2.3429863459073257,-1.9488275420604038,-1.5609248411609475,Severely Dry,Extremely Dry,Severely Dry,Severely Dry,2017-05,1.6722218503036388,0.0,2017-05-01
Berlin,52.52,13.405,2017-06-01,2017,6,June,Oceanic,34,55.23,10.5,99,-0.2822798661083328,-1.3718325021571123,-1.5039164326630203,-2.1932831072535253,Near Normal,Moderately Dry,Severely Dry,Extremely Dry,2017-06,0.2822798661083328,0.0,2017-06-01
Berlin,52.52,13.405,2017-07-01,2017,7,July,Oceanic,34,141.4,-2.4,94,0.7948789933506506,-0.8133278544432241,-1.5846109321339459,-1.6385688486969727,Slightly Wet,Slightly Dry,Severely Dry,Severely Dry,2017-07,0.0,0.7948789933506506,2017-07-01
Berlin,52.52,13.405,2017-08-01,2017,8,August,Oceanic,34,12.54,-4.2,97,-1.4822598837799021,-0.771445415664511,-2.1079574302357944,-2.191166818021631,Moderately Dry,Slightly Dry,Extremely Dry,Extremely Dry,2017-08,1.4822598837799021,0.0,2017-08-01
Berlin,52.52,13.405,2017-09-01,2017,9,September,Oceanic,34,167.87,28.1,78,1.0314997709879965,0.4996289711938168,-0.5488031284179135,-1.4914052856587212,Moderately Wet,Near Normal,Slightly Dry,Moderately Dry,2017-09,0.0,1.0314997709879965,2017-09-01
Berlin,52.52,13.405,2017-10-01,2017,10,October,Oceanic,34,0.76,16.0,81,-2.965113046826174,-1.1577785356595767,-1.4364743461701248,-1.6495594873947579,Extremely Dry,Moderately Dry,Moderately Dry,Severely Dry,2017-10,2.965113046826174,0.0,2017-10-01
Berlin,52.52,13.405,2017-11-01,2017,11,November,Oceanic,34,49.36,26.0,58,-0.3909017616554403,-0.6571525323481833,-1.0696030300730133,-2.1354407436035796,Near Normal,Slightly Dry,Moderately Dry,Extremely Dry,2017-11,0.3909017616554403,0.0,2017-11-01
Berlin,52.52,13.405,2017-12-01,2017,12,December,Oceanic,34,148.18,4.4,50,0.8580203825942163,-0.91693423305057,-0.29926936089583905,-1.2850912941371107,Slightly Wet,Slightly Dry,Near Normal,Moderately Dry,2017-12,0.0,0.8580203825942163,2017-12-01
Berlin,52.52,13.405,2018-01-01,2018,1,January,Oceanic,34,63.25,8.8,38,-0.14624737158186918,-0.14314093136113312,-0.9397964860598803,-1.8092834941354183,Near Normal,Near Normal,Slightly Dry,Severely Dry,2018-01,0.14624737158186918,0.0,2018-01-01
Berlin,52.52,13.405,2018-02-01,2018,2,February,Oceanic,34,20.38,-3.8,76,-1.1373693659060369,-0.4842429888727993,-0.8722313107910911,-2.085155317390029,Moderately Dry,Near Normal,Slightly Dry,Extremely Dry,2018-02,1.1373693659060369,0.0,2018-02-01
Berlin,52.52,13.405,2018-03-01,2018,3,March,Oceanic,34,72.05,33.5,71,-0.010111077528935516,-1.5473111893849074,-1.7613289449452387,-1.630167825006236,Near Normal,Severely Dry,Severely Dry,Severely Dry,2018-03,0.010111077528935516,0.0,2018-03-01
Berlin,52.52,13.405,2018-04-01,2018,4,April,Oceanic,34,54.08,21.7,80,-0.302896814979229,-1.6983547389672378,-1.2487106221178834,-1.9312366283888398,Near Normal,Severely Dry,Moderately Dry,Severely Dry,2018-04,0.302896814979229,0.0,2018-04-01
Berlin,52.52,13.405,2018-05-01,2018,5,May,Oceanic,34,168.54,32.3,85,1.0371687432422882,0.22475609818594852,-0.25000482142089564,-0.978244292420939,Moderately Wet,Near Normal,Near Normal,Slightly Dry,2018-05,0.0,1.0371687432422882,2018-05-01
Berlin,52.52,13.405,2018-06-01,2018,6,June,Oceanic,34,62.67,5.6,80,-0.155668539040602,0.1258570613392551,-0.9483861881043495,-0.9364409758951545,Near Normal,Near Normal,Slightly Dry,Slightly Dry,2018-06,0.155668539040602,0.0,2018-06-01
Berlin,52.52,13.405,2018-07-01,2018,7,July,Oceanic,34,157.79,19.5,99,0.9444166232373303,1.1200707171069921,-0.18084913698094138,-0.8451165498574422,Slightly Wet,Moderately Wet,Near Normal,Slightly Dry,2018-07,0.0,0.9444166232373303,2018-07-01
Berlin,52.52,13.405,2018-08-01,2018,8,August,Oceanic,34,178.37,22.1,49,1.1187485875528904,1.2048163390142594,0.9203526482412154,0.02564645102562369,Moderately Wet,Moderately Wet,Slightly Wet,Near Normal,2018-08,0.0,1.1187485875528904,2018-08-01
Berlin,52.52,13.405,2018-09-01,2018,9,September,Oceanic,34,86.76,7.7,56,0.19401089719993156,1.4069337126833072,1.0140735203431217,-0.38883339622853025,Near Normal,Moderately Wet,Moderately Wet,Near Normal,2018-09,0.0,0.19401089719993156,2018-09-01
Berlin,52.52,13.405,2018-10-01,2018,10,October,Oceanic,34,181.99,28.9,67,1.1480737235965952,1.6026306720831804,1.7800481674697963,0.5110611545857789,Moderately Wet,Very Wet,Very Wet,Slightly Wet,2018-10,0.0,1.1480737235965952,2018-10-01
Berlin,52.52,13.405,2018-11-01,2018,11,November,Oceanic,34,75.46,32.9,94,0.03956764546013666,0.715177453364962,1.2310160409044748,0.6333115959422386,Near Normal,Slightly Wet,Moderately Wet,Slightly Wet,2018-11,0.0,0.03956764546013666,2018-11-01
Berlin,52.52,13.405,2018-12-01,2018,12,December,Oceanic,34,192.82,30.4,83,1.2336712133985954,1.6275986022487834,1.9876717177251535,0.8386075595222601,Moderately Wet,Very Wet,Very Wet,Slightly Wet,2018-12,0.0,1.2336712133985954,2018-12-01
Berlin,52.52,13.405,2019-01-01,2019,1,January,Oceanic,34,17.86,24.6,53,-1.234962126652734,0.13490755424631296,1.1707832086362013,0.629821972150042,Moderately Dry,Near Normal,Moderately Wet,Slightly Wet,2019-01,1.234962126652734,0.0,2019-01-01
Berlin,52.52,13.405,2019-02-01,2019,2,February,Oceanic,34,137.4,6.1,76,0.7567077137366848,0.7514753509982612,0.9125856627162248,1.158634098464086,Slightly Wet,Slightly Wet,Slightly Wet,Moderately Wet,2019-02,0.0,0.7567077137366848,2019-02-01
Berlin,52.52,13.405,2019-03-01,2019,3,March,Oceanic,34,98.76,6.3,92,0.34381928944578133,-0.2204429378645218,0.9892239135716141,1.2751831798097664,Near Normal,Near Normal,Slightly Wet,Moderately Wet,2019-03,0.0,0.34381928944578133,2019-03-01
Berlin,52.52,13.405,2019-04-01,2019,4,April,Oceanic,34,77.53,33.5,86,0.06898100284142489,0.41905371053666907,0.2905079215562235,1.3763222991841788,Near Normal,Near Normal,Near Normal,Moderately Wet,2019-04,0.0,0.06898100284142489,2019-04-01
Berlin,52.52,13.405,2019-05-01,2019,5,May,Oceanic,34,126.54,-4.6,84,0.6493025971494635,0.30910331551191267,0.6414162990637606,1.1943953981969497,Slightly Wet,Near Normal,Slightly Wet,Moderately Wet,2019-05,0.0,0.6493025971494635,2019-05-01
Berlin,52.52,13.405,2019-06-01,2019,6,June,Oceanic,34,140.77,23.6,89,0.7889136747162101,0.7211045878763629,0.2836560260637196,1.5299293332178912,Slightly Wet,Slightly Wet,Near Normal,Very Wet,2019-06,0.0,0.7889136747162101,2019-06-01
Berlin,52.52,13.405,2019-07-01,2019,7,July,Oceanic,34,0.87,23.2,91,-2.9067258600106594,-0.0602829079222688,0.16242721495427057,0.8430170565387238,Extremely Dry,Near Normal,Near Normal,Slightly Wet,2019-07,2.9067258600106594,0.0,2019-07-01
Berlin,52.52,13.405,2019-08-01,2019,8,August,Oceanic,34,33.39,19.9,59,-0.7426167599200791,-1.24793523050247,-0.6367699275843146,0.1585117317081484,Slightly Dry,Moderately Dry,Slightly Dry,Near Normal,2019-08,0.7426167599200791,0.0,2019-08-01
Berlin,52.52,13.405,2019-09-01,2019,9,September,Oceanic,34,142.61,34.6,51,0.806288304705313,-1.2206905250134887,-0.2868572789738848,0.4285185942839762,Slightly Wet,Moderately Dry,Near Normal,Near Normal,2019-09,0.0,0.806288304705313,2019-09-01
Berlin,52.52,13.405,2019-10-01,2019,10,October,Oceanic,34,133.28,7.5,58,0.7166325474174579,0.37471408961259806,0.1305764364519494,0.19350111861535438,Slightly Wet,Near Normal,Near Normal,Near Normal,2019-10,0.0,0.7166325474174579,2019-10-01
Berlin,52.52,13.405,2019-11-01,2019,11,November,Oceanic,34,193.21,8.6,70,1.2366966411574856,1.7745653574861202,0.595912403012308,0.7512487902233572,Moderately Wet,Very Wet,Slightly Wet,Slightly Wet,2019-11,0.0,1.2366966411574856,2019-11-01
Berlin,52.52,13.405,2019-12-01,2019,12,December,Oceanic,34,152.21,-1.8,71,0.8946754753093857,1.8480432443732033,0.6725108815415588,0.5628363029554441,Slightly Wet,Very Wet,Slightly Wet,Slightly Wet,2019-12,0.0,0.8946754753093857,2019-12-01
Berlin,52.52,13.405,2020-01-01,2020,1,January,Oceanic,34,190.15,12.7,94,1.2128548047067786,2.2651639813176634,1.8294696416859362,1.3366436119967195,Moderately Wet,Extremely Wet,Very Wet,Moderately Wet,2020-01,0.0,1.2128548047067786,2020-01-01
Berlin,52.52,13.405,2020-02-01,2020,2,February,Oceanic,34,140.51,5.4,60,0.7864467770654573,1.879667220563701,2.410802723875727,1.3500318586412572,Slightly Wet,Very Wet,Extremely Wet,Moderately Wet,2020-02,0.0,0.7864467770654573,2020-02-01
Berlin,52.52,13.405,2020-03-01,2020,3,March,Oceanic,34,59.61,8.7,59,-0.20640184074387374,1.131097122897498,1.9643261342910978,1.1800811209771256,Near Normal,Moderately Wet,Very Wet,Moderately Wet,2020-03,0.20640184074387374,0.0,2020-03-01
Berlin,52.52,13.405,2020-04-01,2020,4,April,Oceanic,34,21.07,28.4,47,-1.112258809131726,-0.6164663623042111,1.3146493930693892,0.9293650132701781,Moderately Dry,Slightly Dry,Moderately Wet,Slightly Wet,2020-04,1.112258809131726,0.0,2020-04-01
Berlin,52.52,13.405,2020-05-01,2020,5,May,Oceanic,34,156.36,32.4,46,0.9317779397212403,-0.42063481743705905,1.0877107821697674,1.0626340666541307,Slightly Wet,Near Normal,Moderately Wet,Moderately Wet,2020-05,0.0,0.9317779397212403,2020-05-01
Berlin,52.52,13.405,2020-06-01,2020,6,June,Oceanic,34,128.83,2.4,67,0.672434653492997,0.34410802551994124,0.9397632901639867,1.0095051400227657,Slightly Wet,Near Normal,Slightly Wet,Moderately Wet,2020-06,0.0,0.672434653492997,2020-06-01
Berlin,52.52,13.405,2020-07-01,2020,7,July,Oceanic,34,9.64,9.9,43,-1.6542043215032325,0.22642478164489088,-0.33111481180814484,1.048558557239838,Severely Dry,Near Normal,Near Normal,Moderately Wet,2020-07,1.6542043215032325,0.0,2020-07-01
Berlin,52.52,13.405,2020-08-01,2020,8,August,Oceanic,34,72.01,32.1,85,-0.010703268768225683,-0.754264342853712,-0.8917971630643092,1.2185963066251384,Near Normal,Slightly Dry,Slightly Dry,Moderately Wet,2020-08,0.010703268768225683,0.0,2020-08-01
Berlin,52.52,13.405,2020-09-01,2020,9,September,Oceanic,34,191.36,-2.5,51,1.2223110402531463,-0.0069518394533008105,0.14366850727182778,1.4288973412767088,Moderately Wet,Near Normal,Near Normal,Moderately Wet,2020-09,0.0,1.2223110402531463,2020-09-01
Berlin,52.52,13.405,2020-10-01,2020,10,October,Oceanic,34,100.08,-1.3,96,0.3595399111417074,0.8930816010072149,0.6905268373162599,1.2861909832850076,Near Normal,Slightly Wet,Slightly Wet,Moderately Wet,2020-10,0.0,0.3595399111417074,2020-10-01
Berlin,52.52,13.405,2020-11-01,2020,11,November,Oceanic,34,86.55,1.5,85,0.19126882099941792,1.0234843568188856,0.2097962580134813,0.8122878175507553,Near Normal,Moderately Wet,Near Normal,Slightly Wet,2020-11,0.0,0.19126882099941792,2020-11-01
Berlin,52.52,13.405,2020-12-01,2020,12,December,Oceanic,34,91.54,18.8,48,0.2552534613213835,0.04933011919957997,-0.06267313638555304,0.5312710787810064,Near Normal,Near Normal,Near Normal,Slightly Wet,2020-12,0.0,0.2552534613213835,2020-12-01
Berlin,52.52,13.405,2021-01-01,2021,1,January,Oceanic,34,41.78,1.0,86,-0.5456590070125561,-0.6332004930197044,0.17286457515698275,-0.19645644989865668,Slightly Dry,Slightly Dry,Near Normal,Near Normal,2021-01,0.5456590070125561,0.0,2021-01-01
Berlin,52.52,13.405,2021-02-01,2021,2,February,Oceanic,34,73.74,33.7,73,0.014706035221166196,-0.7992742037390556,0.18529486079805244,-0.5454780442771071,Near Normal,Slightly Dry,Near Normal,Slightly Dry,2021-02,0.0,0.014706035221166196,2021-02-01
Berlin,52.52,13.405,2021-03-01,2021,3,March,Oceanic,34,73.96,12.9,64,0.017907951433076493,-1.0390664126825522,-0.7213324410313363,-0.4692165939109226,Near Normal,Moderately Dry,Slightly Dry,Near Normal,2021-03,0.0,0.017907951433076493,2021-03-01
Berlin,52.52,13.405,2021-04-01,2021,4,April,Oceanic,34,10.47,15.1,30,-1.6012220949681755,-1.5073794214199157,-1.523854096703264,-0.5254806612606642,Severely Dry,Severely Dry,Severely Dry,Slightly Dry,2021-04,1.6012220949681755,0.0,2021-04-01
Berlin,52.52,13.405,2021-05-01,2021,5,May,Oceanic,34,153.51,4.9,81,0.9063668197809515,-0.40978499688288483,-0.9135016519210309,-0.540674222930815,Slightly Wet,Near Normal,Slightly Dry,Slightly Dry,2021-05,0.0,0.9063668197809515,2021-05-01
Berlin,52.52,13.405,2021-06-01,2021,6,June,Oceanic,34,83.3,13.8,99,0.1482476961212439,-0.29879246653153874,-0.9850615819249277,-0.7873186938605039,Near Normal,Near Normal,Slightly Dry,Slightly Dry,2021-06,0.0,0.1482476961212439,2021-06-01
Berlin,52.52,13.405,2021-07-01,2021,7,July,Oceanic,34,164.44,21.5,66,1.0022505115498523,1.2254712587942995,-0.0014307151459764954,0.02285329653814669,Moderately Wet,Moderately Wet,Near Normal,Near Normal,2021-07,0.0,1.0022505115498523,2021-07-01
Berlin,52.52,13.405,2021-08-01,2021,8,August,Oceanic,34,170.07,25.0,94,1.050060894957278,1.3646943323513112,0.6737090331677265,0.4986957726475155,Moderately Wet,Moderately Wet,Slightly Wet,Near Normal,2021-08,0.0,1.050060894957278,2021-08-01
Berlin,52.52,13.405,2021-09-01,2021,9,September,Oceanic,34,42.4,25.2,80,-0.5322807908436346,1.0139118754465104,0.4602246104519217,-0.2349393987367223,Slightly Dry,Moderately Wet,Near Normal,Near Normal,2021-09,0.5322807908436346,0.0,2021-09-01
Berlin,52.52,13.405,2021-10-01,2021,10,October,Oceanic,34,131.47,18.1,30,0.6987727784683642,0.7126350741541017,1.2441879734073726,-0.07503391393664266,Slightly Wet,Slightly Wet,Moderately Wet,Near Normal,2021-10,0.0,0.6987727784683642,2021-10-01
Berlin,52.52,13.405,2021-11-01,2021,11,November,Oceanic,34,94.46,31.2,50,0.2916156314600875,-0.058617027047071626,0.8729705214682725,-0.03521144724727607,Near Normal,Near Normal,Slightly Wet,Near Normal,2021-11,0.0,0.2916156314600875,2021-11-01
Berlin,52.52,13.405,2021-12-01,2021,12,December,Oceanic,34,176.03,27.7,82,1.0995920580634468,1.231515858157518,1.447373414591648,0.3790117878926158,Moderately Wet,Moderately Wet,Moderately Wet,Near Normal,2021-12,0.0,1.0995920580634468,2021-12-01
Berlin,52.52,13.405,2022-01-01,2022,1,January,Oceanic,34,43.15,25.3,45,-0.5162835583282068,0.4185533122581545,0.6858779576083256,0.3855682464442798,Slightly Dry,Near Normal,Slightly Wet,Near Normal,2022-01,0.5162835583282068,0.0,2022-01-01
Berlin,52.52,13.405,2022-02-01,2022,2,February,Oceanic,34,135.56,-2.8,90,0.7389075771310071,0.8133272671291943,0.4525187328672675,0.6764701451003615,Slightly Wet,Slightly Wet,Near Normal,Slightly Wet,2022-02,0.0,0.7389075771310071,2022-02-01
Berlin,52.52,13.405,2022-03-01,2022,3,March,Oceanic,34,121.55,-4.7,83,0.5979348059220876,0.28270261379967687,0.9760652348294638,0.8941378157299366,Slightly Wet,Near Normal,Slightly Wet,Slightly Wet,2022-03,0.0,0.5979348059220876,2022-03-01
Berlin,52.52,13.405,2022-04-01,2022,4,April,Oceanic,34,59.06,3.5,69,-0.21571152973964214,0.44380758410406457,0.4987541148549435,1.1111339269139373,Near Normal,Near Normal,Near Normal,Moderately Wet,2022-04,0.21571152973964214,0.0,2022-04-01
Berlin,52.52,13.405,2022-05-01,2022,5,May,Oceanic,34,27.32,21.5,55,-0.909083571262411,-0.7877763664894837,0.02255864698057236,0.5364456963990809,Slightly Dry,Slightly Dry,Near Normal,Slightly Wet,2022-05,0.909083571262411,0.0,2022-05-01
Berlin,52.52,13.405,2022-06-01,2022,6,June,Oceanic,34,130.33,11.4,94,0.6874420427841369,-0.6735409958407099,-0.3237028607788086,0.7549209661081867,Slightly Wet,Slightly Dry,Near Normal,Slightly Wet,2022-06,0.0,0.6874420427841369,2022-06-01
Berlin,52.52,13.405,2022-07-01,2022,7,July,Oceanic,34,147.72,11.1,93,0.8537959290524193,0.33505023902919107,0.4419771233677585,0.6778588973980251,Slightly Wet,Near Normal,Near Normal,Slightly Wet,2022-07,0.0,0.8537959290524193,2022-07-01
Berlin,52.52,13.405,2022-08-01,2022,8,August,Oceanic,34,63.13,30.4,72,-0.14819165124640804,0.6865708638098491,-0.07815413477698867,0.16847411857645442,Near Normal,Slightly Wet,Near Normal,Near Normal,2022-08,0.14819165124640804,0.0,2022-08-01
Berlin,52.52,13.405,2022-09-01,2022,9,September,Oceanic,34,128.97,30.8,46,0.6738401334869848,0.6736767026359205,-0.022841099557171198,0.5830691712639647,Slightly Wet,Slightly Wet,Near Normal,Slightly Wet,2022-09,0.0,0.6738401334869848,2022-09-01
Berlin,52.52,13.405,2022-10-01,2022,10,October,Oceanic,34,79.03,31.4,88,0.08996262193805275,-0.02763443124924071,0.12362148061419548,0.33427803497824576,Near Normal,Near Normal,Near Normal,Near Normal,2022-10,0.0,0.08996262193805275,2022-10-01
Berlin,52.52,13.405,2022-11-01,2022,11,November,Oceanic,34,142.64,7.6,52,0.8065703861323502,0.7753412121393007,0.9095663331559517,0.5631176305480398,Slightly Wet,Slightly Wet,Slightly Wet,Slightly Wet,2022-11,0.0,0.8065703861323502,2022-11-01
Berlin,52.52,13.405,2022-12-01,2022,12,December,Oceanic,34,39.84,22.6,36,-0.5884633439875677,-0.13499942181186628,0.3010891669035668,-0.09994857448669629,Slightly Dry,Near Normal,Near Normal,Near Normal,2022-12,0.5884633439875677,0.0,2022-12-01
Berlin,52.52,13.405,2023-01-01,2023,1,January,Oceanic,34,178.04,5.9,73,1.116056682873214,0.8663934782382869,0.5113193291402901,0.5570202042619307,Moderately Wet,Slightly Wet,Slightly Wet,Slightly Wet,2023-01,0.0,1.116056682873214,2023-01-01
Berlin,52.52,13.405,2023-02-01,2023,2,February,Oceanic,34,57.48,2.6,82,-0.24279650268934977,0.018767847773888294,0.4726585415113066,0.18283309769096606,Near Normal,Near Normal,Near Normal,Near Normal,2023-02,0.24279650268934977,0.0,2023-02-01
Berlin,52.52,13.405,2023-03-01,2023,3,March,Oceanic,34,73.56,2.4,63,0.012081425299849543,0.37269333269956023,0.08063413239234128,-0.055426597002237094,Near Normal,Near Normal,Near Normal,Near Normal,2023-03,0.0,0.012081425299849543,2023-03-01
Berlin,52.52,13.405,2023-04-01,2023,4,April,Oceanic,34,11.62,8.7,75,-1.533059250401348,-1.7637566201125026,-0.4322061253563835,-0.2977110450697205,Severely Dry,Severely Dry,Near Normal,Near Normal,2023-04,1.533059250401348,0.0,2023-04-01
Berlin,52.52,13.405,2023-05-01,2023,5,May,Oceanic,34,22.3,12.2,97,-1.0689983835412875,-2.4289100541232247,-1.4777360029259001,-0.3237631693254029,Moderately Dry,Extremely Dry,Moderately Dry,Near Normal,2023-05,1.0689983835412875,0.0,2023-05-01
Berlin,52.52,13.405,2023-06-01,2023,6,June,Oceanic,34,103.17,28.2,45,0.39580888978216583,-1.8606203598243192,-0.9034141930620413,-0.4661490640105209,Near Normal,Severely Dry,Slightly Dry,Near Normal,2023-06,0.0,0.39580888978216583,2023-06-01
